,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4
0,49.19871794871795,,,,
1,50.48076923076923,,,,
2,54.48717948717949,,,,
3,55.60897435897436,,,,
4,57.21153846153846,,,,
5,58.17307692307692,,,,
6,58.17307692307692,,,,
7,58.81410256410256,,,,
8,58.97435897435897,,,,
9,58.81410256410256,,,,
10,57.8525641025641,,,,
11,58.49358974358975,,,,
12,58.65384615384615,,,,
13,59.45512820512821,,,,
14,59.77564102564103,,,,
15,59.93589743589744,,,,
16,60.09615384615385,,,,
17,59.77564102564103,,,,
18,60.09615384615385,,,,
19,59.93589743589744,,,,
20,60.09615384615385,,,,
21,60.41666666666666,,,,
22,60.41666666666666,,,,
23,60.57692307692308,,,,
24,60.256410256410255,,,,
25,60.256410256410255,,,,
26,60.09615384615385,,,,
27,61.05769230769231,,,,
28,61.21794871794872,,,,
29,61.05769230769231,,,,
30,61.21794871794872,,,,
31,61.05769230769231,,,,
32,61.21794871794872,,,,
33,61.21794871794872,,,,
34,61.21794871794872,,,,
35,61.69871794871795,,,,
36,61.69871794871795,,,,
37,61.53846153846154,,,,
38,61.85897435897436,,,,
39,62.01923076923077,,,,
40,62.17948717948718,,,,
41,62.17948717948718,,,,
42,62.17948717948718,,,,
43,62.33974358974359,,,,
44,62.17948717948718,,,,
45,62.33974358974359,,,,
46,62.17948717948718,,,,
47,62.5,,,,
48,62.33974358974359,,,,
49,62.33974358974359,,,,
50,62.17948717948718,,,,
51,62.5,,,,
52,62.5,,,,
53,62.33974358974359,,,,
54,62.66025641025641,,,,
55,62.66025641025641,,,,
56,62.33974358974359,,,,
57,62.17948717948718,,,,
58,62.5,,,,
59,62.5,,,,
60,62.33974358974359,,,,
61,62.66025641025641,,,,
62,62.33974358974359,,,,
63,62.17948717948718,,,,
64,62.01923076923077,,,,
65,62.17948717948718,,,,
66,62.17948717948718,,,,
67,62.33974358974359,,,,
68,62.98076923076923,,,,
69,62.66025641025641,,,,
70,62.17948717948718,,,,
71,62.01923076923077,,,,
72,62.01923076923077,,,,
73,62.17948717948718,,,,
74,62.01923076923077,,,,
75,61.85897435897436,,,,
76,62.01923076923077,,,,
77,62.17948717948718,,,,
78,62.33974358974359,,,,
79,62.01923076923077,,,,
80,62.17948717948718,,,,
81,62.17948717948718,,,,
82,62.33974358974359,,,,
83,62.5,,,,
84,62.66025641025641,,,,
85,62.5,,,,
86,62.66025641025641,,,,
87,62.66025641025641,,,,
88,62.82051282051282,,,,
89,62.82051282051282,,,,
90,62.82051282051282,,,,
91,63.14102564102564,,,,
92,63.14102564102564,,,,
93,63.14102564102564,,,,
94,63.30128205128205,,,,
95,63.30128205128205,,,,
96,63.14102564102564,,,,
97,63.46153846153846,,,,
98,63.46153846153846,,,,
99,63.46153846153846,,,,
100,63.46153846153846,,,,
101,63.46153846153846,,,,
102,63.14102564102564,,,,
103,62.98076923076923,,,,
104,63.14102564102564,,,,
105,63.14102564102564,,,,
106,63.14102564102564,,,,
107,62.98076923076923,,,,
108,63.30128205128205,,,,
109,63.30128205128205,,,,
110,63.30128205128205,,,,
111,63.14102564102564,,,,
112,63.46153846153846,,,,
113,63.62179487179487,,,,
114,63.46153846153846,,,,
115,63.30128205128205,,,,
116,63.14102564102564,,,,
117,63.14102564102564,,,,
118,63.30128205128205,,,,
119,63.14102564102564,,,,
120,63.46153846153846,,,,
121,62.98076923076923,,,,
122,63.46153846153846,,,,
123,63.782051282051285,,,,
124,63.782051282051285,,,,
125,63.782051282051285,,,,
126,63.94230769230769,,,,
127,63.94230769230769,,,,
128,64.1025641025641,,,,
129,64.1025641025641,,,,
130,64.1025641025641,,,,
131,63.94230769230769,,,,
132,63.782051282051285,,,,
133,64.1025641025641,,,,
134,63.782051282051285,,,,
135,63.62179487179487,,,,
136,63.62179487179487,,,,
137,63.46153846153846,,,,
138,63.46153846153846,,,,
139,63.46153846153846,,,,
140,63.46153846153846,,,,
